12-18447,12/29/2012,WOLCOTT,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
14-2758,2/18/2014,ENFIELD,,CT,ENFIELD,,CT,"(41.976501, -72.591985)"
14-13497,9/7/2014,WALLINGFORD,,CT,WALLINGFORD,NEW HAVEN,CT,"(41.454408, -72.818414)"
13-14421,10/4/2013,WEST HAVEN,NEW HAVEN,CT,WEST HAVEN,NEW HAVEN,CT,"(41.272336, -72.949817)"
13-18018,12/10/2013,RIDGEFIELD,FAIRFIELD,CT,DANBURY,FAIRFIELD,CT,"(41.393666, -73.451539)"
13-19004,12/27/2013,WEST HAVEN,NEW HAVEN,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
13-3783,3/4/2013,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
14-5669,4/9/2014,DANBURY,,CT,DANBURY,FAIRFIELD,CT,"(41.393666, -73.451539)"
13-9675,6/28/2013,WATERBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
12-14640,10/18/2012,SUDBURY,MIDDLESEX,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
14-6116,4/17/2014,WINDSOR,,CT,WINDSOR,HARTFORD,CT,"(41.852781, -72.64379)"
15-14945,9/17/2015,HEBRON,TOLLAND,CT,NEW HARTFORD,,CT,"(41.879454, -72.976047)"
13-16986,11/21/2013,HARTFORD,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
15-10196,6/19/2015,DANBURY,FAIRFIELD,CT,DANBURY,FAIRFIELD,CT,"(41.393666, -73.451539)"
13-14650,10/8/2013,EAST HARTFORD,,CT,MANCHESTER,HARTFORD,CT,"(41.770668, -72.520868)"
15-10732,6/30/2015,STAFFORD SPRINGS,TOLLAND,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
14-7655,5/14/2014,SOUTHBURY,,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
15-10989,7/5/2015,NAUGATUCK,NEW HAVEN,CT,NAUGATUCK,NEW HAVEN,CT,"(41.491113, -73.056564)"
15-9564,6/8/2015,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
14-9439,6/19/2014,NEW BRITAIN,,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
13-14790,10/11/2013,STRATFORD,FAIRFIELD,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
14-15926,10/24/2014,MANCHESTER,,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
Dec-59,5/30/2012,BRIDGEPORT,FAIRFIELD,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
Dec-55,6/21/2012,ROCKY HILL,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
13-17615,12/3/2013,HARTFORD,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
13-2866,2/16/2013,DURHAM,MIDDLESEX,CT,DURHAM,MIDDLESEX,CT,"(41.485881, -72.681864)"
